Account,trade_date,daily_pnl,daily_volume,avg_trade_size,num_trades,daily_fees,win_count,closing_trade_count,pnl_volatility,net_signed_size,buy_volume,win_rate,fee_pct_of_volume
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-08,2755.56043,173357.62,1651.0249523809523,105,41.87209146,104.0,104,41.7920840023104,-3605.7599999999998,57560.25,100.0,0.024153591552537466
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-09,0.0,58196.56,8313.794285714286,7,0.39589471,0.0,0,0.0,3958.95,58196.56,,0.0006802716689783726
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-10,-1065.797583,176292.61,3326.2756603773582,53,41.25995296,51.0,52,347.71591424521534,-3958.14,59580.93,98.07692307692307,0.023404244205131458
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-12,1591.753271,115769.39,2184.328113207547,53,20.961068,52.0,52,40.822063468713004,0.42000000000014026,57088.8,100.0,0.018105881010515818
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-13,-2315.377191,115001.41,4259.311481481482,27,20.268314959999998,0.0,10,366.00429668930326,0.5500000000001819,58658.39,0.0,0.017624405613809426
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-28,0.0,61324.83,1460.115,42,1.54451693,0.0,0,0.0,4412.91,61324.83,,0.0025185833046744684
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-29,-5018.466447,56306.5,580.479381443299,97,19.707219000000002,0.0,97,72.44897659131982,-4411.37,0.0,0.0,0.03499990054434213
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-31,716.143949,113285.54,730.8744516129032,155,20.92763202,83.0,83,11.886107802919827,0.9799999999999898,56284.71,100.0,0.01847334798421758
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-02,0.0,54768.6,54768.6,1,0.456405,0.0,0,0.0,4564.05,54768.6,,0.0008333333333333334
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-15,0.0,16.37,16.37,1,0.00035346,0.0,0,0.0,1.01,16.37,,0.002159193646915088
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-16,-229.398114,160045.22,751.3860093896714,213,56.015709,21.0,155,3.251609808203446,-4562.18,45749.600000000006,13.548387096774196,0.03499992627083771
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-17,951.934443,528313.42,766.7829027576198,689,129.33009467,301.0,301,4.173050738819774,895.32,271308.61,100.0,0.024479804936622655
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-18,242.13172,168880.15,529.4048589341693,319,30.71132149,247.0,247,1.2005644982317054,6.230000000000018,84356.54,100.0,0.01818527606115935
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-19,233.151066,227488.93,743.4278758169935,306,51.65146789,192.0,216,1.6927791933742,1.670000000000039,113627.87999999999,88.88888888888889,0.02270504674227445
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-20,-1996.369256,411590.03,1058.07205655527,389,88.53366847,107.0,169,37.208022970918435,4673.09,248128.79000000004,63.31360946745562,0.021510158657147255
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-21,3434.689308,86106.24,887.6931958762888,97,30.137128,97.0,97,56.63680599010865,-4669.83,0.0,100.0,0.03499993496406299
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-22,7.378,100805.81,4582.0822727272725,22,10.080576,3.0,3,1.5827474003558915,-54000.0,3449.21,100.0,0.00999999503996843
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-23,4514.018059,2514413.5,2050.90823817292,1226,375.987534,666.0,738,52.21490467727034,55732.700000000004,1303030.08,90.2439024390244,0.014953289663772486
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-24,618.5701799999999,780102.05,6342.293089430895,123,120.545237,9.0,66,76.44529230206244,-200.0,353869.83,13.636363636363635,0.015452495862560546
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-25,1350.82303,468235.07,2262.0051690821256,207,76.49138628,31.0,31,71.19433842461653,5487.330000000001,319730.77999999997,100.0,0.01633610790409185
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-26,-4648.8710550000005,96183.93,284.5678402366864,338,16.916102,0.0,338,33.090644623953665,-5285.4800000000005,0.0,0.0,0.01758724352394418
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-27,0.0,96167.16,1435.3307462686569,67,0.267131,0.0,0,0.0,5342.62,96167.16,,0.0002777777777777778
